reference_id	citation	year	evidence_type	diseases	key_finding_ko	url	doi
R011	Binmadi et al. Perineural invasion is a significant prognostic factor in oral squamous cell carcinoma: systematic review and meta-analysis	2023	systematic_review_meta_analysis	oral_squamous_cell_carcinoma	OSCC에서 PNI의 adverse prognostic association을 정량 종합했다	https://pubmed.ncbi.nlm.nih.gov/37958235/	10.3390/diagnostics13213339
R012	Ju et al. Role of perineural invasion on head and neck adenoid cystic carcinoma prognosis: systematic review and meta-analysis	2016	systematic_review_meta_analysis	adenoid_cystic_carcinoma	신경친화성이 알려진 adenoid cystic carcinoma에서 PNI와 예후의 연관성을 종합했다	https://pubmed.ncbi.nlm.nih.gov/27727107/	10.1016/j.oooo.2016.08.008
R013	Schorn et al. Influence of neural invasion on survival and tumor recurrence in pancreatic ductal adenocarcinoma: systematic review and meta-analysis	2017	systematic_review_meta_analysis	pancreatic_ductal_adenocarcinoma	PDAC에서 neural invasion과 생존·재발의 관련성을 체계적으로 분석했다	https://pubmed.ncbi.nlm.nih.gov/28317579/	10.1016/j.suronc.2017.01.007
R014	Zhao et al. Perineural invasion as a predictive factor for survival outcome in gastric cancer: systematic review and meta-analysis	2020	systematic_review_meta_analysis	gastric_adenocarcinoma	13개 연구 7004명에서 PNI는 불리한 병리 특징과 생존 저하에 연관됐다	https://pubmed.ncbi.nlm.nih.gov/31980559/	10.1136/jclinpath-2019-206372
R015	Kolck et al. Perineural invasion in intrahepatic cholangiocarcinoma: meta-analysis of prevalence and impact on survival	2026	systematic_review_meta_analysis	cholangiocarcinoma	61개 연구에서 PNI는 흔한 adverse feature였으나 prevalence 이질성이 매우 컸다	https://pubmed.ncbi.nlm.nih.gov/42349784/	10.1016/j.jhepr.2026.101939
R016	Karia et al. Risk factors for cutaneous squamous cell carcinoma recurrence metastasis and disease-specific death: systematic review and meta-analysis	2016	systematic_review_meta_analysis	cutaneous_squamous_cell_carcinoma	cSCC의 PNI는 recurrence와 metastasis 위험 증가에 연관된 병리 고위험 특징이었다	https://pubmed.ncbi.nlm.nih.gov/26762219/	10.1001/jamadermatol.2015.4994
R017	Eichelberg et al. Prognostic value of AMACR expression in renal cell carcinoma	2013	large_single_cohort	papillary_renal_cell_carcinoma	1088개 renal tumor에서 AMACR 발현은 papillary RCC에서 더 흔했지만 단독 진단·예후 지표로는 제한이 있었다	https://pubmed.ncbi.nlm.nih.gov/22009118/	10.1007/s00345-011-0783-z
R018	Alshenawy. Immunohistochemical panel for differentiating renal cell carcinoma with clear and papillary features	2015	single_cohort_panel_study	papillary_renal_cell_carcinoma	CK7 CAIX AMACR TFE3 panel이 papillary/clear feature RCC 감별에 사용됐으며 AMACR 단독보다 panel 해석이 필요했다	https://pubmed.ncbi.nlm.nih.gov/30023184/	10.1016/j.jmau.2015.01.003
R019	Schmitd et al. Redefining perineural invasion: integration of biology with clinical outcome	2018	single_cohort_mechanistic	oral_squamous_cell_carcinoma	고전 PNI 기준과 함께 tumor-nerve distance 및 nerve diameter 같은 연속 공간특징을 탐색했으나 표준 진단 대체는 아니다	https://pubmed.ncbi.nlm.nih.gov/29800815/	10.1016/j.neo.2018.04.005
R020	Glaser et al. Nondestructive 3D pathology with analysis of nuclear features for prostate cancer risk assessment	2023	single_cohort_method_development	prostate_adenocarcinoma	3D nuclear shape feature가 BCR risk와 연관될 가능성을 보였지만 소규모 방법개발 연구였다	https://pubmed.ncbi.nlm.nih.gov/37232213/	10.1038/s41551-023-01049-7
R021	PRECISE PNI frozen-score audit approved design	2026	local_approved_design	prostate_adenocarcinoma	현재 프로젝트가 검증한 역할은 선택된 120후보 내 공간 후보 triage이며 whole-slide 진단이 아니다	projects/precise_pni_candidate_triage/docs/designs/2026-08-05-precise-pni-frozen-score-audit-design.md	not_applicable
R022	PRECISE PNI morphology rereview approved design	2026	local_approved_design	prostate_adenocarcinoma	14개 선택 focus의 형태 pilot이며 contour 지표는 전문의 경계 승인 후에만 계산한다	projects/precise_pni_candidate_triage/docs/designs/2026-08-06-precise-pni-morphology-rereview-design.md	not_applicable
R023	Pathology foundation-model signal qualification approved design	2026	local_approved_design	prostate_adenocarcinoma	grade와 phenotype은 비교적 transportable했지만 PTEN AR SPOP recurrence 신호는 target과 context에 의존하거나 frozen design에서 지지되지 않았다	projects/prostate_biomarker_validation/docs/designs/2026-08-07-scientific-reports-manuscript-redesign-design.md	not_applicable
